,YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3,Physical_Percentage_lag_1,Physical_Percentage_lag_2,Physical_Percentage_lag_3
3,2015,Alaska,2 or more races,15.2,17.3,11.1,0,-96.5,-169.0,178.5000000000009,133.79999999999927,14.1,17.0,16.8
4,2017,Alaska,2 or more races,17.6,21.7,11.6,0,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.2,14.1,17.0
5,2019,Alaska,2 or more races,19.6,21.6,10.9,0,-96.0,8.300000000000182,333.89999999999964,-96.5,17.6,15.2,14.1
12,2013,Delaware,2 or more races,12.6,21.1,26.3,3,-169.0,133.79999999999927,-79.5,-592.3000000000002,29.3,23.9,19.8
13,2015,Delaware,2 or more races,12.3,24.2,18.1,3,-96.5,-169.0,178.5000000000009,133.79999999999927,12.6,29.3,23.9
17,2015,Florida,2 or more races,25.4,15.1,19.8,4,-96.5,-169.0,178.5000000000009,133.79999999999927,26.9,19.8,26.8
18,2017,Florida,2 or more races,28.3,11.8,16.9,4,8.300000000000182,-96.5,-156.80000000000018,-169.0,25.4,26.9,19.8
19,2019,Florida,2 or more races,18.7,15.5,13.1,4,-96.0,8.300000000000182,333.89999999999964,-96.5,28.3,25.4,26.9
26,2013,Hawaii,2 or more races,7.1,13.7,13.6,6,-169.0,133.79999999999927,-79.5,-592.3000000000002,6.2,6.5,6.9
27,2015,Hawaii,2 or more races,4.5,13.0,11.9,6,-96.5,-169.0,178.5000000000009,133.79999999999927,7.1,6.2,6.5
28,2017,Hawaii,2 or more races,4.4,14.9,7.7,6,8.300000000000182,-96.5,-156.80000000000018,-169.0,4.5,7.1,6.2
29,2019,Hawaii,2 or more races,3.8,13.0,6.7,6,-96.0,8.300000000000182,333.89999999999964,-96.5,4.4,4.5,7.1
33,2017,Illinois,2 or more races,70.6,20.4,10.3,7,8.300000000000182,-96.5,-156.80000000000018,-169.0,68.1,72.5,63.6
43,2015,Maryland,2 or more races,15.8,15.6,17.3,11,-96.5,-169.0,178.5000000000009,133.79999999999927,17.7,21.8,14.7
44,2017,Maryland,2 or more races,14.6,16.0,14.1,11,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.8,17.7,21.8
45,2019,Maryland,2 or more races,15.4,16.7,12.7,11,-96.0,8.300000000000182,333.89999999999964,-96.5,14.6,15.8,17.7
49,2015,Massachusetts,2 or more races,23.7,21.9,19.4,12,-96.5,-169.0,178.5000000000009,133.79999999999927,18.7,21.1,31.1
50,2017,Massachusetts,2 or more races,16.0,16.5,14.2,12,8.300000000000182,-96.5,-156.80000000000018,-169.0,23.7,18.7,21.1
54,2013,Michigan,2 or more races,24.3,14.7,22.1,13,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.3,34.2,36.4
55,2015,Michigan,2 or more races,24.7,13.2,14.4,13,-96.5,-169.0,178.5000000000009,133.79999999999927,24.3,25.3,34.2
56,2019,Michigan,2 or more races,19.2,20.9,18.5,13,-96.0,8.300000000000182,333.89999999999964,-96.5,24.7,24.3,25.3
61,2015,Montana,2 or more races,32.4,16.7,16.3,15,-96.5,-169.0,178.5000000000009,133.79999999999927,33.6,35.5,38.9
62,2017,Montana,2 or more races,31.7,20.9,16.6,15,8.300000000000182,-96.5,-156.80000000000018,-169.0,32.4,33.6,35.5
63,2019,Montana,2 or more races,26.9,14.4,11.2,15,-96.0,8.300000000000182,333.89999999999964,-96.5,31.7,32.4,33.6
67,2013,National,2 or more races,31.2,12.3,24.5,16,-169.0,133.79999999999927,-79.5,-592.3000000000002,31.1,29.6,25.5
68,2015,National,2 or more races,29.7,15.5,24.0,16,-96.5,-169.0,178.5000000000009,133.79999999999927,31.2,31.1,29.6
69,2017,National,2 or more races,27.9,13.8,18.1,16,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.7,31.2,31.1
70,2019,National,2 or more races,25.6,18.5,13.4,16,-96.0,8.300000000000182,333.89999999999964,-96.5,27.9,29.7,31.2
78,2017,New Mexico,2 or more races,26.7,14.4,21.1,19,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.3,28.2,27.3
79,2019,New Mexico,2 or more races,18.4,15.5,18.6,19,-96.0,8.300000000000182,333.89999999999964,-96.5,26.7,29.3,28.2
83,2013,New York,2 or more races,19.2,6.4,25.3,20,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.1,7.5,8.3
84,2015,New York,2 or more races,10.9,9.9,11.2,20,-96.5,-169.0,178.5000000000009,133.79999999999927,19.2,25.1,7.5
85,2017,New York,2 or more races,10.6,23.0,8.6,20,8.300000000000182,-96.5,-156.80000000000018,-169.0,10.9,19.2,25.1
86,2019,New York,2 or more races,20.4,13.1,9.8,20,-96.0,8.300000000000182,333.89999999999964,-96.5,10.6,10.9,19.2
90,2019,North Carolina,2 or more races,24.2,23.4,18.7,21,-96.0,8.300000000000182,333.89999999999964,-96.5,30.4,27.7,28.7
94,2013,Oklahoma,2 or more races,36.3,11.3,31.6,22,-169.0,133.79999999999927,-79.5,-592.3000000000002,38.3,30.9,36.2
95,2015,Oklahoma,2 or more races,32.9,16.1,27.9,22,-96.5,-169.0,178.5000000000009,133.79999999999927,36.3,38.3,30.9
