,Date,Unit,Type_Of_Meat,Animal,Commercial_Or_Federally_Inspected,Weight
0,2004-01-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3821172.8
1,2004-01-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,556222.8
2,2004-01-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,36400.0
3,2004-01-01,1000 Pounds,Red Meat,Calves,Commercial,26544.0
4,2004-01-01,1000 Pounds,Red Meat,Calves,Federally Inspected,41022.0
5,2004-01-01,1000 Pounds,Red Meat,Cattle,Commercial,3220671.4
6,2004-01-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5068359.6
7,2004-01-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,602565.6
8,2004-01-01,1000 Pounds,Red Meat,Hogs,Commercial,2364779.0
9,2004-01-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4090645.0
10,2004-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31020.0
11,2004-01-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,44548.0
12,2004-01-01,1000 Pounds,Red Meat,Steers,Federally Inspected,989577.0
13,2004-02-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3361061.6
14,2004-02-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,514531.8
15,2004-02-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,30905.0
16,2004-02-01,1000 Pounds,Red Meat,Calves,Commercial,24024.0
17,2004-02-01,1000 Pounds,Red Meat,Calves,Federally Inspected,37924.1
18,2004-02-01,1000 Pounds,Red Meat,Cattle,Commercial,2995203.5999999996
19,2004-02-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,4726086.5
20,2004-02-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,608874.0
21,2004-02-01,1000 Pounds,Red Meat,Hogs,Commercial,2113823.1999999997
22,2004-02-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3652506.0
23,2004-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,29537.5
24,2004-02-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,42209.2
25,2004-02-01,1000 Pounds,Red Meat,Steers,Federally Inspected,895994.3999999999
26,2004-03-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3978150.8000000003
27,2004-03-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,596416.8
28,2004-03-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,40140.6
29,2004-03-01,1000 Pounds,Red Meat,Calves,Commercial,23531.2
30,2004-03-01,1000 Pounds,Red Meat,Calves,Federally Inspected,37051.200000000004
31,2004-03-01,1000 Pounds,Red Meat,Cattle,Commercial,3491938.1
32,2004-03-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5523476.0
33,2004-03-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,688750.0
34,2004-03-01,1000 Pounds,Red Meat,Hogs,Commercial,2422318.0
35,2004-03-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4184668.8000000003
36,2004-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,44222.4
37,2004-03-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,64244.6
38,2004-03-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1084507.2
39,2004-04-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3783327.6
40,2004-04-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,566440.2
41,2004-04-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,42574.4
42,2004-04-01,1000 Pounds,Red Meat,Calves,Commercial,23331.0
43,2004-04-01,1000 Pounds,Red Meat,Calves,Federally Inspected,36330.0
44,2004-04-01,1000 Pounds,Red Meat,Cattle,Commercial,3237240.0
45,2004-04-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5126755.2
46,2004-04-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,595089.6
47,2004-04-01,1000 Pounds,Red Meat,Hogs,Commercial,2319057.6
48,2004-04-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,4017876.0999999996
49,2004-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,34843.2
50,2004-04-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,49328.100000000006
51,2004-04-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1054320.4000000001
52,2004-05-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3716549.2
53,2004-05-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,563868.0
54,2004-05-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,41986.6
55,2004-05-01,1000 Pounds,Red Meat,Calves,Commercial,22903.8
56,2004-05-01,1000 Pounds,Red Meat,Calves,Federally Inspected,36024.0
57,2004-05-01,1000 Pounds,Red Meat,Cattle,Commercial,3414664.4
58,2004-05-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5422258.2
59,2004-05-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,626655.7
60,2004-05-01,1000 Pounds,Red Meat,Hogs,Commercial,2015907.6
61,2004-05-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3484896.0
62,2004-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,26040.6
63,2004-05-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,37009.4
64,2004-05-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1144754.0999999999
65,2004-06-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3968942.1
66,2004-06-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,591305.0
67,2004-06-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,45823.299999999996
68,2004-06-01,1000 Pounds,Red Meat,Calves,Commercial,22343.1
69,2004-06-01,1000 Pounds,Red Meat,Calves,Federally Inspected,35002.700000000004
70,2004-06-01,1000 Pounds,Red Meat,Cattle,Commercial,3667772.5
71,2004-06-01,1000 Pounds,Red Meat,Cattle,Federally Inspected,5826631.199999999
72,2004-06-01,1000 Pounds,Red Meat,Heifers,Federally Inspected,681641.4
73,2004-06-01,1000 Pounds,Red Meat,Hogs,Commercial,2245425.6
74,2004-06-01,1000 Pounds,Red Meat,Hogs,Federally Inspected,3896283.8999999994
75,2004-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Commercial,31034.399999999998
76,2004-06-01,1000 Pounds,Red Meat,Sheep and Lambs,Federally Inspected,44778.0
77,2004-06-01,1000 Pounds,Red Meat,Steers,Federally Inspected,1225999.2
78,2004-07-01,1000 Pounds,Poultry,Broilers,Federally Inspected,3857235.2
79,2004-07-01,1000 Pounds,Poultry,Turkeys,Federally Inspected,586077.8
80,2004-07-01,1000 Pounds,Red Meat,Bulls and Stags,Federally Inspected,43830.0
81,2004-07-01,1000 Pounds,Red Meat,Calves,Commercial,22291.2
82,2004-07-01,1000 Pounds,Red Meat,Calves,Federally Inspected,35011.200000000004
