YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3
2007,Alaska,American Indian/Alaska Native,18.2,21.6,33.2,32,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Alaska,American Indian/Alaska Native,23.7,16.0,34.4,32,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2011,Alaska,American Indian/Alaska Native,23.8,17.4,30.8,32,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999985
2013,Alaska,American Indian/Alaska Native,20.9,13.9,23.0,32,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Alaska,American Indian/Alaska Native,26.5,16.9,36.5,32,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Alaska,American Indian/Alaska Native,23.5,22.4,20.7,32,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Alaska,American Indian/Alaska Native,27.4,11.6,18.9,32,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Arizona,American Indian/Alaska Native,21.8,13.1,42.3,33,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2009,Arizona,American Indian/Alaska Native,50.2,19.3,35.0,33,-592.3000000000002,198.69999999999985,150.40000000000057,31.5
2015,Arizona,American Indian/Alaska Native,35.7,19.3,22.0,33,-96.5,-169.0,178.5000000000009,133.79999999999927
2013,Maryland,American Indian/Alaska Native,19.2,15.0,25.9,34,-169.0,133.79999999999927,-79.5,-592.3000000000002
2015,Maryland,American Indian/Alaska Native,14.4,14.3,22.6,34,-96.5,-169.0,178.5000000000009,133.79999999999927
2017,Maryland,American Indian/Alaska Native,17.2,17.9,17.8,34,8.300000000000182,-96.5,-156.80000000000018,-169.0
2019,Maryland,American Indian/Alaska Native,17.2,18.1,14.0,34,-96.0,8.300000000000182,333.89999999999964,-96.5
2007,Michigan,American Indian/Alaska Native,33.4,16.0,36.7,35,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
2007,Montana,American Indian/Alaska Native,29.7,16.9,30.9,36,198.69999999999985,31.5,-278.6999999999998,-83.60000000000036
