,YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3
0,2009,Alaska,2 or more races,16.8,16.5,19.9,0,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
1,2011,Alaska,2 or more races,17.0,13.7,17.5,0,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
2,2013,Alaska,2 or more races,14.1,17.6,15.9,0,-169.0,133.79999999999927,-79.5,-592.3000000000002
3,2015,Alaska,2 or more races,15.2,17.3,11.1,0,-96.5,-169.0,178.5000000000009,133.79999999999927
4,2017,Alaska,2 or more races,17.6,21.7,11.6,0,8.300000000000182,-96.5,-156.80000000000018,-169.0
5,2019,Alaska,2 or more races,19.6,21.6,10.9,0,-96.0,8.300000000000182,333.89999999999964,-96.5
6,2015,Arkansas,2 or more races,18.6,14.6,29.0,1,-96.5,-169.0,178.5000000000009,133.79999999999927
7,2015,Connecticut,2 or more races,14.1,20.2,15.6,2,-96.5,-169.0,178.5000000000009,133.79999999999927
8,2017,Connecticut,2 or more races,11.7,13.1,14.8,2,8.300000000000182,-96.5,-156.80000000000018,-169.0
9,2007,Delaware,2 or more races,19.8,21.7,39.2,3,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
10,2009,Delaware,2 or more races,23.9,19.4,28.4,3,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
11,2011,Delaware,2 or more races,29.3,14.4,27.9,3,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
12,2013,Delaware,2 or more races,12.6,21.1,26.3,3,-169.0,133.79999999999927,-79.5,-592.3000000000002
13,2015,Delaware,2 or more races,12.3,24.2,18.1,3,-96.5,-169.0,178.5000000000009,133.79999999999927
14,2009,Florida,2 or more races,26.8,16.9,29.7,4,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
15,2011,Florida,2 or more races,19.8,12.2,22.6,4,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
16,2013,Florida,2 or more races,26.9,14.5,26.0,4,-169.0,133.79999999999927,-79.5,-592.3000000000002
17,2015,Florida,2 or more races,25.4,15.1,19.8,4,-96.5,-169.0,178.5000000000009,133.79999999999927
18,2017,Florida,2 or more races,28.3,11.8,16.9,4,8.300000000000182,-96.5,-156.80000000000018,-169.0
19,2019,Florida,2 or more races,18.7,15.5,13.1,4,-96.0,8.300000000000182,333.89999999999964,-96.5
20,2015,Guam,2 or more races,8.4,20.0,12.5,5,-96.5,-169.0,178.5000000000009,133.79999999999927
21,2017,Guam,2 or more races,5.2,14.9,16.0,5,8.300000000000182,-96.5,-156.80000000000018,-169.0
22,2019,Guam,2 or more races,7.2,14.6,9.7,5,-96.0,8.300000000000182,333.89999999999964,-96.5
23,2007,Hawaii,2 or more races,6.9,15.8,18.8,6,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
24,2009,Hawaii,2 or more races,6.5,13.8,19.1,6,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
25,2011,Hawaii,2 or more races,6.2,15.5,15.1,6,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
26,2013,Hawaii,2 or more races,7.1,13.7,13.6,6,-169.0,133.79999999999927,-79.5,-592.3000000000002
27,2015,Hawaii,2 or more races,4.5,13.0,11.9,6,-96.5,-169.0,178.5000000000009,133.79999999999927
28,2017,Hawaii,2 or more races,4.4,14.9,7.7,6,8.300000000000182,-96.5,-156.80000000000018,-169.0
29,2019,Hawaii,2 or more races,3.8,13.0,6.7,6,-96.0,8.300000000000182,333.89999999999964,-96.5
30,2009,Illinois,2 or more races,63.6,10.9,37.1,7,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
31,2011,Illinois,2 or more races,72.5,16.2,18.9,7,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
32,2015,Illinois,2 or more races,68.1,17.7,8.7,7,-96.5,-169.0,178.5000000000009,133.79999999999927
33,2017,Illinois,2 or more races,70.6,20.4,10.3,7,8.300000000000182,-96.5,-156.80000000000018,-169.0
34,2011,Indiana,2 or more races,20.3,17.7,27.7,8,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
35,2015,Indiana,2 or more races,34.5,11.0,20.5,8,-96.5,-169.0,178.5000000000009,133.79999999999927
36,2009,Kansas,2 or more races,15.5,12.2,40.1,9,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
37,2013,Kansas,2 or more races,22.8,19.1,23.0,9,-169.0,133.79999999999927,-79.5,-592.3000000000002
38,2017,Kansas,2 or more races,26.0,22.7,12.6,9,8.300000000000182,-96.5,-156.80000000000018,-169.0
39,2015,Kentucky,2 or more races,31.1,22.7,26.3,10,-96.5,-169.0,178.5000000000009,133.79999999999927
40,2009,Maryland,2 or more races,14.7,12.5,29.6,11,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
41,2011,Maryland,2 or more races,21.8,15.2,23.1,11,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
42,2013,Maryland,2 or more races,17.7,14.4,17.4,11,-169.0,133.79999999999927,-79.5,-592.3000000000002
43,2015,Maryland,2 or more races,15.8,15.6,17.3,11,-96.5,-169.0,178.5000000000009,133.79999999999927
44,2017,Maryland,2 or more races,14.6,16.0,14.1,11,8.300000000000182,-96.5,-156.80000000000018,-169.0
45,2019,Maryland,2 or more races,15.4,16.7,12.7,11,-96.0,8.300000000000182,333.89999999999964,-96.5
46,2007,Massachusetts,2 or more races,31.1,10.5,26.2,12,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
47,2011,Massachusetts,2 or more races,21.1,25.4,17.8,12,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
48,2013,Massachusetts,2 or more races,18.7,9.3,17.5,12,-169.0,133.79999999999927,-79.5,-592.3000000000002
49,2015,Massachusetts,2 or more races,23.7,21.9,19.4,12,-96.5,-169.0,178.5000000000009,133.79999999999927
50,2017,Massachusetts,2 or more races,16.0,16.5,14.2,12,8.300000000000182,-96.5,-156.80000000000018,-169.0
51,2007,Michigan,2 or more races,36.4,16.9,17.1,13,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
52,2009,Michigan,2 or more races,34.2,19.4,34.2,13,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
53,2011,Michigan,2 or more races,25.3,25.5,24.6,13,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
54,2013,Michigan,2 or more races,24.3,14.7,22.1,13,-169.0,133.79999999999927,-79.5,-592.3000000000002
55,2015,Michigan,2 or more races,24.7,13.2,14.4,13,-96.5,-169.0,178.5000000000009,133.79999999999927
56,2019,Michigan,2 or more races,19.2,20.9,18.5,13,-96.0,8.300000000000182,333.89999999999964,-96.5
57,2015,Mississippi,2 or more races,27.5,14.6,28.3,14,-96.5,-169.0,178.5000000000009,133.79999999999927
58,2007,Montana,2 or more races,38.9,11.1,31.9,15,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
59,2011,Montana,2 or more races,35.5,14.7,29.3,15,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
60,2013,Montana,2 or more races,33.6,16.6,19.4,15,-169.0,133.79999999999927,-79.5,-592.3000000000002
61,2015,Montana,2 or more races,32.4,16.7,16.3,15,-96.5,-169.0,178.5000000000009,133.79999999999927
62,2017,Montana,2 or more races,31.7,20.9,16.6,15,8.300000000000182,-96.5,-156.80000000000018,-169.0
63,2019,Montana,2 or more races,26.9,14.4,11.2,15,-96.0,8.300000000000182,333.89999999999964,-96.5
64,2007,National,2 or more races,25.5,18.5,29.6,16,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
65,2009,National,2 or more races,29.6,14.2,28.6,16,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
66,2011,National,2 or more races,31.1,15.4,23.2,16,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
67,2013,National,2 or more races,31.2,12.3,24.5,16,-169.0,133.79999999999927,-79.5,-592.3000000000002
68,2015,National,2 or more races,29.7,15.5,24.0,16,-96.5,-169.0,178.5000000000009,133.79999999999927
69,2017,National,2 or more races,27.9,13.8,18.1,16,8.300000000000182,-96.5,-156.80000000000018,-169.0
70,2019,National,2 or more races,25.6,18.5,13.4,16,-96.0,8.300000000000182,333.89999999999964,-96.5
71,2011,Nebraska,2 or more races,29.0,16.6,26.2,17,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
72,2013,Nevada,2 or more races,25.1,13.5,11.6,18,-169.0,133.79999999999927,-79.5,-592.3000000000002
73,2017,Nevada,2 or more races,22.6,18.2,13.2,18,8.300000000000182,-96.5,-156.80000000000018,-169.0
74,2019,Nevada,2 or more races,15.6,10.6,6.1,18,-96.0,8.300000000000182,333.89999999999964,-96.5
75,2011,New Mexico,2 or more races,27.3,14.5,28.3,19,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
76,2013,New Mexico,2 or more races,28.2,11.4,19.6,19,-169.0,133.79999999999927,-79.5,-592.3000000000002
77,2015,New Mexico,2 or more races,29.3,15.8,19.8,19,-96.5,-169.0,178.5000000000009,133.79999999999927
78,2017,New Mexico,2 or more races,26.7,14.4,21.1,19,8.300000000000182,-96.5,-156.80000000000018,-169.0
79,2019,New Mexico,2 or more races,18.4,15.5,18.6,19,-96.0,8.300000000000182,333.89999999999964,-96.5
80,2007,New York,2 or more races,8.3,16.9,21.7,20,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
81,2009,New York,2 or more races,7.5,21.0,28.9,20,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
82,2011,New York,2 or more races,25.1,13.2,20.6,20,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
83,2013,New York,2 or more races,19.2,6.4,25.3,20,-169.0,133.79999999999927,-79.5,-592.3000000000002
84,2015,New York,2 or more races,10.9,9.9,11.2,20,-96.5,-169.0,178.5000000000009,133.79999999999927
85,2017,New York,2 or more races,10.6,23.0,8.6,20,8.300000000000182,-96.5,-156.80000000000018,-169.0
86,2019,New York,2 or more races,20.4,13.1,9.8,20,-96.0,8.300000000000182,333.89999999999964,-96.5
87,2007,North Carolina,2 or more races,28.7,13.4,33.2,21,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
88,2015,North Carolina,2 or more races,27.7,17.4,26.0,21,-96.5,-169.0,178.5000000000009,133.79999999999927
89,2017,North Carolina,2 or more races,30.4,16.0,25.0,21,8.300000000000182,-96.5,-156.80000000000018,-169.0
90,2019,North Carolina,2 or more races,24.2,23.4,18.7,21,-96.0,8.300000000000182,333.89999999999964,-96.5
91,2007,Oklahoma,2 or more races,36.2,13.5,43.8,22,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
92,2009,Oklahoma,2 or more races,30.9,20.3,31.7,22,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
93,2011,Oklahoma,2 or more races,38.3,14.0,35.0,22,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
94,2013,Oklahoma,2 or more races,36.3,11.3,31.6,22,-169.0,133.79999999999927,-79.5,-592.3000000000002
95,2015,Oklahoma,2 or more races,32.9,16.1,27.9,22,-96.5,-169.0,178.5000000000009,133.79999999999927
96,2017,Oklahoma,2 or more races,21.2,19.2,18.1,22,8.300000000000182,-96.5,-156.80000000000018,-169.0
97,2019,Oklahoma,2 or more races,22.4,22.0,24.5,22,-96.0,8.300000000000182,333.89999999999964,-96.5
98,2015,Pennsylvania,2 or more races,27.5,26.4,27.4,23,-96.5,-169.0,178.5000000000009,133.79999999999927
99,2017,Pennsylvania,2 or more races,24.0,19.8,14.7,23,8.300000000000182,-96.5,-156.80000000000018,-169.0
100,2007,Rhode Island,2 or more races,25.6,18.6,27.4,24,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
101,2009,Rhode Island,2 or more races,24.1,23.0,19.5,24,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
102,2011,Rhode Island,2 or more races,22.9,16.8,26.1,24,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
103,2013,Rhode Island,2 or more races,24.0,17.3,20.5,24,-169.0,133.79999999999927,-79.5,-592.3000000000002
104,2015,Rhode Island,2 or more races,14.7,20.4,11.7,24,-96.5,-169.0,178.5000000000009,133.79999999999927
105,2017,Rhode Island,2 or more races,13.5,17.9,9.1,24,8.300000000000182,-96.5,-156.80000000000018,-169.0
106,2019,South Dakota,2 or more races,20.2,14.3,11.7,25,-96.0,8.300000000000182,333.89999999999964,-96.5
107,2015,Tennessee,2 or more races,28.4,15.3,24.1,26,-96.5,-169.0,178.5000000000009,133.79999999999927
108,2017,Tennessee,2 or more races,30.3,28.9,23.8,26,8.300000000000182,-96.5,-156.80000000000018,-169.0
109,2011,Texas,2 or more races,41.7,11.6,31.3,27,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
110,2007,Vermont,2 or more races,20.0,17.7,29.0,28,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
111,2009,Vermont,2 or more races,20.0,18.8,28.8,28,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
112,2011,Vermont,2 or more races,15.7,14.7,14.8,28,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
113,2013,Virginia,2 or more races,14.9,14.8,23.0,29,-169.0,133.79999999999927,-79.5,-592.3000000000002
114,2015,Virginia,2 or more races,12.3,16.1,17.3,29,-96.5,-169.0,178.5000000000009,133.79999999999927
115,2017,Virginia,2 or more races,10.0,19.8,14.0,29,8.300000000000182,-96.5,-156.80000000000018,-169.0
116,2011,Wisconsin,2 or more races,36.9,17.2,26.1,30,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
117,2013,Wisconsin,2 or more races,35.2,9.8,17.6,30,-169.0,133.79999999999927,-79.5,-592.3000000000002
118,2009,Wyoming,2 or more races,26.9,12.4,35.5,31,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
119,2011,Wyoming,2 or more races,25.4,10.8,32.9,31,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
120,2013,Wyoming,2 or more races,27.9,14.8,29.9,31,-169.0,133.79999999999927,-79.5,-592.3000000000002
121,2015,Wyoming,2 or more races,11.8,10.1,27.8,31,-96.5,-169.0,178.5000000000009,133.79999999999927
122,2007,Alaska,American Indian/Alaska Native,18.2,21.6,33.2,32,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
123,2009,Alaska,American Indian/Alaska Native,23.7,16.0,34.4,32,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
124,2011,Alaska,American Indian/Alaska Native,23.8,17.4,30.8,32,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
125,2013,Alaska,American Indian/Alaska Native,20.9,13.9,23.0,32,-169.0,133.79999999999927,-79.5,-592.3000000000002
126,2015,Alaska,American Indian/Alaska Native,26.5,16.9,36.5,32,-96.5,-169.0,178.5000000000009,133.79999999999927
127,2017,Alaska,American Indian/Alaska Native,23.5,22.4,20.7,32,8.300000000000182,-96.5,-156.80000000000018,-169.0
128,2019,Alaska,American Indian/Alaska Native,27.4,11.6,18.9,32,-96.0,8.300000000000182,333.89999999999964,-96.5
129,2007,Arizona,American Indian/Alaska Native,21.8,13.1,42.3,33,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
130,2009,Arizona,American Indian/Alaska Native,50.2,19.3,35.0,33,-592.3000000000002,198.69999999999982,150.40000000000055,31.5
131,2015,Arizona,American Indian/Alaska Native,35.7,19.3,22.0,33,-96.5,-169.0,178.5000000000009,133.79999999999927
132,2013,Maryland,American Indian/Alaska Native,19.2,15.0,25.9,34,-169.0,133.79999999999927,-79.5,-592.3000000000002
133,2015,Maryland,American Indian/Alaska Native,14.4,14.3,22.6,34,-96.5,-169.0,178.5000000000009,133.79999999999927
134,2017,Maryland,American Indian/Alaska Native,17.2,17.9,17.8,34,8.300000000000182,-96.5,-156.80000000000018,-169.0
135,2019,Maryland,American Indian/Alaska Native,17.2,18.1,14.0,34,-96.0,8.300000000000182,333.89999999999964,-96.5
136,2007,Michigan,American Indian/Alaska Native,33.4,16.0,36.7,35,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
137,2007,Montana,American Indian/Alaska Native,29.7,16.9,30.9,36,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
138,2011,Montana,American Indian/Alaska Native,31.8,14.0,30.3,36,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982
139,2013,Montana,American Indian/Alaska Native,42.7,18.8,23.9,36,-169.0,133.79999999999927,-79.5,-592.3000000000002
140,2015,Montana,American Indian/Alaska Native,34.5,16.2,23.7,36,-96.5,-169.0,178.5000000000009,133.79999999999927
141,2017,Montana,American Indian/Alaska Native,36.0,21.2,18.9,36,8.300000000000182,-96.5,-156.80000000000018,-169.0
142,2019,Montana,American Indian/Alaska Native,35.8,17.5,15.9,36,-96.0,8.300000000000182,333.89999999999964,-96.5
143,2007,National,American Indian/Alaska Native,33.3,21.1,37.7,37,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036
